ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-02-22 20:40:00 217m





Relative time;HS3-100(17654).Ch1;HS3-100(17654).Ch2
s;V;V
0;3.3164063;0.1359375
5E-5;3.3378906;0.046093751
0.0001;3.328125;0.033203125
0.00015;3.3261719;0.030859375
0.0002;3.3222656;0.031640625
0.00025;3.3222656;0.03203125
0.0003;3.3242188;0.0296875
0.00035;3.3300781;0.030859375
0.0004;3.328125;0.030859375
0.00045;3.3261719;0.029296875
0.0005;3.3222656;0.028515625
0.00055;3.3222656;0.030078125
0.0006;3.3300781;0.028515625
0.00065;3.3261719;0.029296875
0.0007;3.328125;0.0296875
0.00075;3.3320313;0.030078125
0.0008;3.3300781;0.03125
0.00085;3.3242188;0.027734375
0.0009;3.328125;0.0296875
0.00095;3.328125;0.029296875
0.001;3.3300781;0.030078125
0.00105;3.3320313;0.0296875
0.0011;3.3203125;0.031640625
0.00115;3.3222656;0.02734375
0.0012;3.3261719;0.025390625
0.00125;3.328125;0.029296875
0.0013;3.3398438;0.0265625
0.00135;3.3261719;0.02734375
0.0014;3.3261719;0.0265625
0.00145;3.3203125;0.02578125
0.0015;3.328125;0.02890625
0.00155;3.3261719;0.030078125
0.0016;3.3242188;0.035546876
0.00165;3.3242188;0.030078125
0.0017;3.3320313;0.031640625
0.00175;3.3203125;0.030859375
0.0018;3.3339844;0.029296875
0.00185;3.328125;0.027734375
0.0019;3.3183594;0.028515625
0.00195;3.3261719;0.02890625
0.002;3.3222656;0.02578125
0.00205;3.328125;0.028515625
0.0021;3.3261719;0.03125
0.00215;3.3203125;0.0296875
0.0022;3.3203125;0.02890625
0.00225;3.3222656;0.028515625
0.0023;3.3320313;0.028125
0.00235;3.3261719;0.02734375
0.0024;3.3242188;0.029296875
0.00245;3.328125;0.02734375
0.0025;3.3339844;0.02734375
0.00255;3.328125;0.02734375
0.0026;3.3203125;0.026953125
0.00265;3.3203125;0.02734375
0.0027;3.3242188;0.029296875
0.00275;3.3300781;0.030078125
0.0028;3.3261719;0.03046875
0.00285;3.3261719;0.026953125
0.0029;3.3261719;0.03125
0.00295;3.328125;0.029296875
0.003;3.3261719;0.028515625
0.00305;3.3242188;0.029296875
0.0031;3.3339844;0.031640625
0.00315;3.3300781;0.03046875
0.0032;3.3242188;0.027734375
0.00325;3.328125;0.029296875
0.0033;3.3261719;0.02890625
0.00335;3.3242188;0.028125
0.0034;3.3203125;0.02890625
0.00345;3.3222656;0.028125
0.0035;3.3261719;0.03046875
0.00355;3.328125;0.028125
0.0036;3.3203125;0.0296875
0.00365;3.3320313;0.0296875
0.0037;3.3320313;0.02890625
0.00375;3.3300781;0.03203125
0.0038;3.3261719;0.03046875
0.00385;3.328125;0.029296875
0.0039;3.3203125;0.03046875
0.00395;3.328125;0.0296875
0.004;3.3261719;0.031640625
0.00405;3.3261719;0.02890625
0.0041;3.328125;0.032421875
0.00415;3.3222656;0.030859375
0.0042;3.3242188;0.03046875
0.00425;3.3261719;0.031640625
0.0043;3.3203125;0.0328125
0.00435;3.3300781;0.028125
0.0044;3.3242188;0.03046875
0.00445;3.3222656;0.028515625
0.0045;3.3242188;0.030078125
0.00455;3.3261719;0.026953125
0.0046;3.3320313;0.026953125
0.00465;3.3222656;0.028515625
0.0047;3.328125;0.03046875
0.00475;3.3242188;0.02734375
0.0048;3.328125;0.03046875
0.00485;3.328125;0.030078125
0.0049;3.3183594;0.031640625
0.00495;3.328125;0.030078125
0.005;3.3261719;0.030859375
0.00505;3.3261719;0.0296875
0.0051;3.328125;0.0296875
0.00515;3.3339844;0.029296875
0.0052;3.3203125;0.030859375
0.00525;3.328125;0.028125
0.0053;3.3320313;0.030859375
0.00535;3.3242188;0.028125
0.0054;3.3242188;0.027734375
0.00545;3.3242188;0.02734375
0.0055;3.3300781;0.028515625
0.00555;3.3261719;0.0296875
0.0056;3.3222656;0.0296875
0.00565;3.3261719;0.0296875
0.0057;3.328125;0.02890625
0.00575;3.3320313;0.030078125
0.0058;3.3203125;0.030859375
0.00585;3.3203125;0.0296875
0.0059;3.3261719;0.0296875
0.00595;3.328125;0.03203125
0.006;3.3300781;0.028515625
0.00605;3.3261719;0.027734375
0.0061;3.3261719;0.030078125
0.00615;3.3359375;0.02890625
0.0062;3.3339844;0.03125
0.00625;3.3261719;0.030078125
0.0063;3.3242188;0.031640625
0.00635;3.3203125;0.030078125
0.0064;3.3320313;0.03046875
0.00645;3.3320313;0.028125
0.0065;3.3261719;0.03125
0.00655;3.3339844;0.027734375
0.0066;3.3320313;0.028515625
0.00665;3.328125;0.03203125
0.0067;3.3261719;0.029296875
0.00675;3.3203125;0.030078125
0.0068;3.328125;0.030859375
0.00685;3.328125;0.027734375
0.0069;3.3261719;0.031640625
0.00695;3.3222656;0.030859375
0.007;3.3242188;0.030078125
0.00705;3.3261719;0.0296875
0.0071;3.3242188;0.03125
0.00715;3.3261719;0.030078125
0.0072;3.3203125;0.0296875
0.00725;3.3242188;0.03203125
0.0073;3.3261719;0.030078125
0.00735;3.3300781;0.028125
0.0074;3.3242188;0.030078125
0.00745;3.3261719;0.029296875
0.0075;3.3222656;0.030078125
0.00755;3.3320313;0.03046875
0.0076;3.3261719;0.029296875
0.00765;3.3261719;0.030859375
0.0077;3.3300781;0.03203125
0.00775;3.3222656;0.028515625
0.0078;3.3300781;0.0328125
0.00785;3.3320313;0.0296875
0.0079;3.328125;0.030859375
0.00795;3.3261719;0.0296875
0.008;3.3339844;0.028515625
0.00805;3.3320313;0.03046875
0.0081;3.3261719;0.0296875
0.00815;3.3222656;0.03046875
0.0082;3.3378906;0.02734375
0.00825;3.3242188;0.03046875
0.0083;3.3300781;0.029296875
0.00835;3.3300781;0.030078125
0.0084;3.3300781;0.02890625
0.00845;3.3242188;0.03046875
0.0085;3.3203125;0.03203125
0.00855;3.3203125;0.03125
0.0086;3.3261719;0.03125
0.00865;3.3300781;0.031640625
0.0087;3.3261719;0.030078125
0.00875;3.3300781;0.028125
0.0088;3.3300781;0.030859375
0.00885;3.3164063;0.033203125
0.0089;3.328125;0.0296875
0.00895;3.3222656;0.03046875
0.009;3.3125;0.026953125
0.00905;3.3300781;0.033203125
0.0091;3.3242188;0.03046875
0.00915;3.3300781;0.0296875
0.0092;3.3183594;0.0296875
0.00925;3.3242188;0.034375001
0.0093;3.3300781;0.03046875
0.00935;3.328125;0.0296875
0.0094;3.3300781;0.03125
0.00945;3.3261719;0.02890625
0.0095;3.3320313;0.031640625
0.00955;3.3261719;0.031640625
0.0096;3.3261719;0.028125
0.00965;3.3203125;0.0265625
0.0097;3.3261719;0.03046875
0.00975;3.3222656;0.030078125
0.0098;3.3300781;0.028515625
0.00985;3.3242188;0.03203125
0.0099;3.3339844;0.030859375
0.00995;3.3300781;0.02890625
0.01;0.03125;0.051171876
0.01005;0.025390625;0.39843751
0.0101;0.01953125;0.45234376
0.01015;0.025390625;0.43242188
0.0102;0.015625;0.40976563
0.01025;0.0234375;0.41640626
0.0103;0.0234375;0.42500001
0.01035;0.0234375;0.43593751
0.0104;0.02734375;0.45390626
0.01045;0.02734375;0.44492188
0.0105;0.03125;0.41835938
0.01055;0.021484375;0.41640626
0.0106;0.021484375;0.45039063
0.01065;0.0234375;0.48632813
0.0107;0.021484375;0.45312501
0.01075;0.029296875;0.43125001
0.0108;0.015625;0.44140626
0.01085;0.0234375;0.45468751
0.0109;0.015625;0.47226563
0.01095;0.021484375;0.47265626
0.011;0.01953125;0.44921876
0.01105;0.0234375;0.43515626
0.0111;0.02734375;0.45351563
0.01115;0.0234375;0.48203126
0.0112;0.0234375;0.48593751
0.01125;0.021484375;0.48203126
0.0113;0.0234375;0.46914063
0.01135;0.029296875;0.45742188
0.0114;0.0234375;0.47460938
0.01145;0.0234375;0.49218751
