Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
1.0798E-1	5.9058E-1	1.0798E-1	1.7570E+3
1.0810E-1	5.9033E-1	1.0810E-1	1.6270E+3
1.0822E-1	5.8960E-1	1.0822E-1	1.3120E+3
1.0822E-1	5.9082E-1	1.0822E-1	1.1830E+3
1.0834E-1	5.8862E-1	1.0834E-1	1.5290E+3
1.0847E-1	5.8911E-1	1.0847E-1	2.1020E+3
1.0847E-1	5.8838E-1	1.0847E-1	1.4890E+3
1.0859E-1	5.8936E-1	1.0859E-1	1.7050E+3
1.0871E-1	5.8643E-1	1.0871E-1	2.1090E+3
1.0871E-1	5.8765E-1	1.0871E-1	1.1190E+3
1.0883E-1	5.8643E-1	1.0883E-1	1.7690E+3
1.0895E-1	5.8667E-1	1.0895E-1	1.8220E+3
1.0908E-1	5.8813E-1	1.0908E-1	1.7910E+3
1.0908E-1	5.8740E-1	1.0908E-1	2.0750E+3
1.0920E-1	5.8398E-1	1.0920E-1	1.4050E+3
1.0932E-1	5.8374E-1	1.0932E-1	1.5850E+3
1.0932E-1	5.8496E-1	1.0932E-1	1.9060E+3
1.0944E-1	5.8521E-1	1.0944E-1	1.2090E+3
1.0956E-1	5.8472E-1	1.0956E-1	1.2850E+3
1.0969E-1	5.8228E-1	1.0969E-1	1.2010E+3
1.0969E-1	5.8179E-1	1.0969E-1	1.8220E+3
1.0981E-1	5.8276E-1	1.0981E-1	1.5270E+3
1.0993E-1	5.8057E-1	1.0993E-1	1.7950E+3
1.0993E-1	5.7861E-1	1.0993E-1	1.5200E+3
1.1005E-1	5.7983E-1	1.1005E-1	1.1030E+3
1.1018E-1	5.8130E-1	1.1018E-1	1.2800E+3
1.1030E-1	5.7886E-1	1.1030E-1	1.2850E+3
1.1030E-1	5.7739E-1	1.1030E-1	1.4230E+3
1.1042E-1	5.8032E-1	1.1042E-1	1.3830E+3
1.1054E-1	5.7886E-1	1.1054E-1	1.7490E+3
