Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
1.0798E-1	5.7935E-1	1.0798E-1	1.8400E+3
1.0810E-1	5.7617E-1	1.0810E-1	1.8150E+3
1.0822E-1	5.7861E-1	1.0822E-1	1.4450E+3
1.0822E-1	5.7886E-1	1.0822E-1	1.5970E+3
1.0834E-1	5.7861E-1	1.0834E-1	2.3860E+3
1.0847E-1	5.7495E-1	1.0847E-1	1.5210E+3
1.0847E-1	5.7861E-1	1.0847E-1	1.6640E+3
1.0859E-1	5.7617E-1	1.0859E-1	1.9290E+3
1.0871E-1	5.7666E-1	1.0871E-1	2.1880E+3
1.0871E-1	5.7520E-1	1.0871E-1	2.1300E+3
1.0883E-1	5.7617E-1	1.0883E-1	1.7600E+3
1.0895E-1	5.7544E-1	1.0895E-1	1.7440E+3
1.0908E-1	5.7373E-1	1.0908E-1	1.4840E+3
1.0908E-1	5.7373E-1	1.0908E-1	2.1900E+3
1.0920E-1	5.7422E-1	1.0920E-1	1.8840E+3
1.0932E-1	5.7275E-1	1.0932E-1	1.7780E+3
1.0932E-1	5.7275E-1	1.0932E-1	2.0330E+3
1.0944E-1	5.7275E-1	1.0944E-1	1.3400E+3
1.0956E-1	5.7446E-1	1.0956E-1	1.5410E+3
1.0969E-1	5.7080E-1	1.0969E-1	1.7860E+3
1.0969E-1	5.7129E-1	1.0969E-1	1.8510E+3
1.0981E-1	5.7104E-1	1.0981E-1	1.2510E+3
1.0993E-1	5.6836E-1	1.0993E-1	1.6910E+3
1.0993E-1	5.6934E-1	1.0993E-1	1.5330E+3
1.1005E-1	5.6909E-1	1.1005E-1	1.7110E+3
1.1018E-1	5.6934E-1	1.1018E-1	1.2470E+3
1.1030E-1	5.6982E-1	1.1030E-1	1.5820E+3
1.1030E-1	5.6641E-1	1.1030E-1	2.0570E+3
1.1042E-1	5.6836E-1	1.1042E-1	1.2610E+3
1.1054E-1	5.6812E-1	1.1054E-1	1.9570E+3
1.1054E-1	5.6763E-1	1.1054E-1	1.9010E+3
1.1066E-1	5.6763E-1	1.1066E-1	1.7690E+3
1.1079E-1	5.6714E-1	1.1079E-1	1.0120E+3
1.1079E-1	5.6665E-1	1.1079E-1	1.4210E+3
1.1091E-1	5.6396E-1	1.1091E-1	1.6960E+3
1.1103E-1	5.6714E-1	1.1103E-1	1.5440E+3
1.1115E-1	5.6567E-1	1.1115E-1	2.1300E+3
1.1115E-1	5.6494E-1	1.1115E-1	1.6330E+3
1.1127E-1	5.6372E-1	1.1127E-1	1.5200E+3
1.1140E-1	5.6128E-1	1.1140E-1	2.3280E+3
1.1140E-1	5.6201E-1	1.1140E-1	2.2150E+3
1.1152E-1	5.6274E-1	1.1152E-1	1.3230E+3
1.1164E-1	5.6006E-1	1.1164E-1	1.5420E+3
1.1176E-1	5.5933E-1	1.1176E-1	1.3580E+3
1.1176E-1	5.6030E-1	1.1176E-1	1.3000E+3
1.1188E-1	5.6030E-1	1.1188E-1	1.2300E+3
1.1201E-1	5.5908E-1	1.1201E-1	1.6250E+3
1.1201E-1	5.5859E-1	1.1201E-1	1.7000E+3
1.1213E-1	5.5615E-1	1.1213E-1	1.6310E+3
1.1225E-1	5.5859E-1	1.1225E-1	1.3130E+3
1.1225E-1	5.5737E-1	1.1225E-1	1.6250E+3
1.1237E-1	5.5811E-1	1.1237E-1	2.2830E+3
1.1249E-1	5.5811E-1	1.1249E-1	1.2380E+3
1.1262E-1	5.5811E-1	1.1262E-1	9.9600E+2
1.1262E-1	5.5713E-1	1.1262E-1	1.3080E+3
1.1274E-1	5.5542E-1	1.1274E-1	1.2220E+3
1.1286E-1	5.5591E-1	1.1286E-1	1.6510E+3
1.1286E-1	5.5566E-1	1.1286E-1	1.7980E+3
1.1298E-1	5.5664E-1	1.1298E-1	1.4450E+3
1.1311E-1	5.5615E-1	1.1311E-1	1.4560E+3
1.1323E-1	5.5249E-1	1.1323E-1	1.9730E+3
1.1323E-1	5.5347E-1	1.1323E-1	1.3700E+3
1.1335E-1	5.5396E-1	1.1335E-1	1.1960E+3
1.1347E-1	5.5151E-1	1.1347E-1	2.2800E+3
1.1347E-1	5.5225E-1	1.1347E-1	2.4940E+3
1.1359E-1	5.5078E-1	1.1359E-1	1.3160E+3
1.1372E-1	5.5029E-1	1.1372E-1	1.0160E+3
1.1384E-1	5.5029E-1	1.1384E-1	1.9020E+3
1.1384E-1	5.5103E-1	1.1384E-1	1.4870E+3
1.1396E-1	5.4956E-1	1.1396E-1	1.5030E+3
1.1408E-1	5.4907E-1	1.1408E-1	8.9000E+2
1.1408E-1	5.4956E-1	1.1408E-1	1.3840E+3
1.1420E-1	5.4761E-1	1.1420E-1	1.4560E+3
1.1433E-1	5.4736E-1	1.1433E-1	1.6640E+3
1.1433E-1	5.4565E-1	1.1433E-1	1.2270E+3
1.1445E-1	5.4614E-1	1.1445E-1	1.3920E+3
1.1457E-1	5.4688E-1	1.1457E-1	1.2890E+3
1.1469E-1	5.4614E-1	1.1469E-1	1.4050E+3
1.1469E-1	5.4663E-1	1.1469E-1	9.9400E+2
1.1481E-1	5.4761E-1	1.1481E-1	1.5330E+3
1.1494E-1	5.4614E-1	1.1494E-1	1.0220E+3
1.1494E-1	5.4443E-1	1.1494E-1	2.0240E+3
1.1506E-1	5.4517E-1	1.1506E-1	1.5310E+3
1.1518E-1	5.4321E-1	1.1518E-1	2.0860E+3
1.1518E-1	5.4346E-1	1.1518E-1	2.2240E+3
1.1530E-1	5.4297E-1	1.1530E-1	1.8170E+3
1.1542E-1	5.4175E-1	1.1542E-1	1.5210E+3
1.1555E-1	5.4175E-1	1.1555E-1	1.8600E+3
1.1555E-1	5.4297E-1	1.1555E-1	1.8570E+3
1.1567E-1	5.3931E-1	1.1567E-1	2.1900E+3
1.1579E-1	5.4053E-1	1.1579E-1	1.5380E+3
1.1579E-1	5.4102E-1	1.1579E-1	1.9440E+3
1.1591E-1	5.3833E-1	1.1591E-1	1.9950E+3
1.1603E-1	5.4077E-1	1.1603E-1	1.7090E+3
1.1616E-1	5.3857E-1	1.1616E-1	1.5350E+3
1.1616E-1	5.3857E-1	1.1616E-1	1.5560E+3
1.1628E-1	5.3662E-1	1.1628E-1	1.8680E+3
1.1640E-1	5.3906E-1	1.1640E-1	1.2160E+3
1.1640E-1	5.3833E-1	1.1640E-1	1.6250E+3
1.1652E-1	5.3735E-1	1.1652E-1	1.4810E+3
1.1665E-1	5.3540E-1	1.1665E-1	1.5200E+3
1.1665E-1	5.3564E-1	1.1665E-1	1.8310E+3
1.1677E-1	5.3540E-1	1.1677E-1	1.3070E+3
1.1689E-1	5.3467E-1	1.1689E-1	1.6140E+3
1.1701E-1	5.3369E-1	1.1701E-1	1.3030E+3
1.1701E-1	5.3491E-1	1.1701E-1	1.1380E+3
1.1713E-1	5.3516E-1	1.1713E-1	2.0300E+3
1.1726E-1	5.3296E-1	1.1726E-1	1.2890E+3
1.1726E-1	5.3418E-1	1.1726E-1	1.8860E+3
1.1738E-1	5.3174E-1	1.1738E-1	1.6330E+3
1.1750E-1	5.3149E-1	1.1750E-1	1.6960E+3
1.1762E-1	5.3223E-1	1.1762E-1	1.7290E+3
1.1762E-1	5.3223E-1	1.1762E-1	1.8380E+3
1.1774E-1	5.3052E-1	1.1774E-1	1.8730E+3
1.1787E-1	5.3027E-1	1.1787E-1	2.1300E+3
1.1787E-1	5.3101E-1	1.1787E-1	1.8590E+3
1.1799E-1	5.3003E-1	1.1799E-1	2.1740E+3
1.1811E-1	5.2930E-1	1.1811E-1	1.4590E+3
1.1811E-1	5.3027E-1	1.1811E-1	1.4000E+3
1.1823E-1	5.2734E-1	1.1823E-1	1.6850E+3
1.1835E-1	5.3003E-1	1.1835E-1	1.8510E+3
1.1848E-1	5.2710E-1	1.1848E-1	1.3960E+3
1.1848E-1	5.2710E-1	1.1848E-1	1.5090E+3
1.1860E-1	5.2808E-1	1.1860E-1	2.3230E+3
1.1872E-1	5.2661E-1	1.1872E-1	1.7580E+3
1.1872E-1	5.2515E-1	1.1872E-1	1.0170E+3
1.1884E-1	5.2710E-1	1.1884E-1	1.6220E+3
1.1896E-1	5.2393E-1	1.1896E-1	1.7710E+3
1.1909E-1	5.2466E-1	1.1909E-1	1.7340E+3
1.1909E-1	5.2612E-1	1.1909E-1	1.2810E+3
1.1921E-1	5.2417E-1	1.1921E-1	1.6740E+3
1.1933E-1	5.2417E-1	1.1933E-1	1.6070E+3
1.1933E-1	5.2148E-1	1.1933E-1	1.1770E+3
1.1945E-1	5.2173E-1	1.1945E-1	1.4000E+3
1.1958E-1	5.2368E-1	1.1958E-1	1.3690E+3
1.1970E-1	5.2197E-1	1.1970E-1	1.7150E+3
1.1970E-1	5.2026E-1	1.1970E-1	1.7710E+3
1.1982E-1	5.2075E-1	1.1982E-1	1.4250E+3
1.1994E-1	5.2173E-1	1.1994E-1	1.5750E+3
1.1994E-1	5.1904E-1	1.1994E-1	2.0840E+3
1.2006E-1	5.1855E-1	1.2006E-1	1.4380E+3
1.2019E-1	5.1904E-1	1.2019E-1	1.4100E+3
1.2019E-1	5.1929E-1	1.2019E-1	1.9910E+3
1.2031E-1	5.1831E-1	1.2031E-1	1.1050E+3
1.2043E-1	5.1953E-1	1.2043E-1	1.6020E+3
1.2055E-1	5.1953E-1	1.2055E-1	1.4340E+3
1.2055E-1	5.1807E-1	1.2055E-1	1.8160E+3
1.2067E-1	5.1758E-1	1.2067E-1	1.0410E+3
1.2080E-1	5.1636E-1	1.2080E-1	1.2720E+3
1.2080E-1	5.1587E-1	1.2080E-1	1.1850E+3
1.2092E-1	5.1538E-1	1.2092E-1	1.0410E+3
1.2104E-1	5.1611E-1	1.2104E-1	1.7950E+3
1.2104E-1	5.1636E-1	1.2104E-1	2.2640E+3
1.2116E-1	5.1416E-1	1.2116E-1	2.1240E+3
1.2128E-1	5.1270E-1	1.2128E-1	1.5090E+3
1.2141E-1	5.1465E-1	1.2141E-1	1.5330E+3
1.2141E-1	5.1367E-1	1.2141E-1	1.0830E+3
1.2153E-1	5.1147E-1	1.2153E-1	1.5920E+3
1.2165E-1	5.1294E-1	1.2165E-1	2.1290E+3
1.2165E-1	5.1343E-1	1.2165E-1	1.3100E+3
1.2177E-1	5.1123E-1	1.2177E-1	1.2740E+3
1.2189E-1	5.1245E-1	1.2189E-1	1.2700E+3
1.2202E-1	5.1196E-1	1.2202E-1	1.5140E+3
1.2202E-1	5.0879E-1	1.2202E-1	1.6070E+3
1.2214E-1	5.1025E-1	1.2214E-1	1.2870E+3
1.2226E-1	5.1172E-1	1.2226E-1	1.3180E+3
1.2226E-1	5.0830E-1	1.2226E-1	1.7530E+3
1.2238E-1	5.0903E-1	1.2238E-1	1.6170E+3
1.2251E-1	5.0879E-1	1.2251E-1	1.6200E+3
1.2251E-1	5.0757E-1	1.2251E-1	1.5450E+3
1.2263E-1	5.0928E-1	1.2263E-1	1.8400E+3
1.2275E-1	5.0757E-1	1.2275E-1	1.5000E+3
1.2287E-1	5.0586E-1	1.2287E-1	1.3500E+3
1.2287E-1	5.0806E-1	1.2287E-1	1.9020E+3
1.2299E-1	5.0635E-1	1.2299E-1	1.6870E+3
1.2312E-1	5.0757E-1	1.2312E-1	1.7400E+3
1.2312E-1	5.0537E-1	1.2312E-1	1.6220E+3
1.2324E-1	5.0488E-1	1.2324E-1	1.0790E+3
1.2336E-1	5.0342E-1	1.2336E-1	1.7560E+3
1.2348E-1	5.0488E-1	1.2348E-1	1.0300E+3
1.2348E-1	5.0537E-1	1.2348E-1	1.4090E+3
1.2360E-1	5.0391E-1	1.2360E-1	1.3790E+3
1.2373E-1	5.0488E-1	1.2373E-1	1.0210E+3
1.2373E-1	5.0244E-1	1.2373E-1	1.4940E+3
1.2385E-1	5.0073E-1	1.2385E-1	1.7380E+3
1.2397E-1	5.0244E-1	1.2397E-1	1.8050E+3
1.2397E-1	5.0195E-1	1.2397E-1	1.8600E+3
1.2409E-1	5.0098E-1	1.2409E-1	1.5050E+3
1.2421E-1	5.0317E-1	1.2421E-1	7.7100E+2
1.2434E-1	5.0073E-1	1.2434E-1	1.6800E+3
1.2434E-1	4.9927E-1	1.2434E-1	1.8510E+3
1.2446E-1	5.0024E-1	1.2446E-1	1.3940E+3
1.2458E-1	4.9902E-1	1.2458E-1	1.6420E+3
1.2458E-1	4.9756E-1	1.2458E-1	1.7030E+3
1.2470E-1	5.0000E-1	1.2470E-1	2.2470E+3
1.2482E-1	4.9878E-1	1.2482E-1	1.6650E+3
1.2495E-1	4.9805E-1	1.2495E-1	1.3210E+3
1.2495E-1	4.9780E-1	1.2495E-1	1.4630E+3
1.2507E-1	4.9902E-1	1.2507E-1	1.3560E+3
1.2519E-1	4.9658E-1	1.2519E-1	1.7180E+3
1.2519E-1	4.9634E-1	1.2519E-1	1.6250E+3
1.2531E-1	4.9536E-1	1.2531E-1	1.8510E+3
1.2543E-1	4.9658E-1	1.2543E-1	1.0560E+3
1.2556E-1	4.9438E-1	1.2556E-1	1.7850E+3
1.2556E-1	4.9341E-1	1.2556E-1	1.4140E+3
1.2568E-1	4.9463E-1	1.2568E-1	1.4030E+3
1.2580E-1	4.9561E-1	1.2580E-1	1.3100E+3
1.2580E-1	4.9243E-1	1.2580E-1	1.3490E+3
1.2592E-1	4.9243E-1	1.2592E-1	1.2350E+3
1.2605E-1	4.9365E-1	1.2605E-1	1.4250E+3
1.2605E-1	4.9341E-1	1.2605E-1	1.4940E+3
1.2617E-1	4.9194E-1	1.2617E-1	2.0640E+3
1.2629E-1	4.9341E-1	1.2629E-1	1.3630E+3
1.2641E-1	4.9243E-1	1.2641E-1	1.0660E+3
1.2641E-1	4.9219E-1	1.2641E-1	1.7380E+3
1.2653E-1	4.9243E-1	1.2653E-1	1.7230E+3
1.2666E-1	4.9023E-1	1.2666E-1	7.7000E+2
1.2666E-1	4.9268E-1	1.2666E-1	1.3270E+3
1.2678E-1	4.9146E-1	1.2678E-1	1.3670E+3
1.2690E-1	4.8999E-1	1.2690E-1	1.1320E+3
1.2690E-1	4.8999E-1	1.2690E-1	2.0620E+3
1.2702E-1	4.8877E-1	1.2702E-1	1.7270E+3
1.2714E-1	4.8755E-1	1.2714E-1	1.3000E+3
1.2727E-1	4.8877E-1	1.2727E-1	1.4420E+3
1.2727E-1	4.8853E-1	1.2727E-1	1.4000E+3
1.2739E-1	4.8608E-1	1.2739E-1	1.2560E+3
1.2751E-1	4.8755E-1	1.2751E-1	1.3670E+3
1.2751E-1	4.8560E-1	1.2751E-1	1.6800E+3
1.2763E-1	4.8584E-1	1.2763E-1	1.2320E+3
1.2775E-1	4.8657E-1	1.2775E-1	1.9820E+3
1.2788E-1	4.8438E-1	1.2788E-1	1.2900E+3
1.2788E-1	4.8511E-1	1.2788E-1	1.1050E+3
1.2800E-1	4.8535E-1	1.2800E-1	1.7940E+3
1.2812E-1	4.8462E-1	1.2812E-1	1.3450E+3
1.2812E-1	4.8462E-1	1.2812E-1	1.3250E+3
1.2824E-1	4.8486E-1	1.2824E-1	1.8200E+3
1.2836E-1	4.8340E-1	1.2836E-1	1.2830E+3
1.2836E-1	4.8267E-1	1.2836E-1	1.9070E+3
1.2849E-1	4.8364E-1	1.2849E-1	1.5340E+3
1.2861E-1	4.8315E-1	1.2861E-1	1.2100E+3
1.2873E-1	4.8267E-1	1.2873E-1	9.6100E+2
1.2873E-1	4.8218E-1	1.2873E-1	2.0530E+3
1.2885E-1	4.8169E-1	1.2885E-1	1.9510E+3
1.2898E-1	4.8047E-1	1.2898E-1	9.2800E+2
1.2898E-1	4.8120E-1	1.2898E-1	1.8290E+3
1.2910E-1	4.8022E-1	1.2910E-1	1.3280E+3
1.2922E-1	4.7925E-1	1.2922E-1	1.8240E+3
1.2934E-1	4.8071E-1	1.2934E-1	2.1610E+3
1.2934E-1	4.7827E-1	1.2934E-1	1.8490E+3
1.2946E-1	4.7827E-1	1.2946E-1	1.3940E+3
1.2959E-1	4.8096E-1	1.2959E-1	1.2990E+3
1.2959E-1	4.7925E-1	1.2959E-1	1.9110E+3
1.2971E-1	4.7729E-1	1.2971E-1	1.5490E+3
1.2983E-1	4.7827E-1	1.2983E-1	1.5360E+3
1.2995E-1	4.7705E-1	1.2995E-1	2.1350E+3
1.2995E-1	4.7656E-1	1.2995E-1	1.5710E+3
1.3007E-1	4.7876E-1	1.3007E-1	1.5670E+3
1.3020E-1	4.7656E-1	1.3020E-1	1.0920E+3
1.3020E-1	4.7852E-1	1.3020E-1	1.0770E+3
1.3032E-1	4.7803E-1	1.3032E-1	1.6580E+3
1.3044E-1	4.7827E-1	1.3044E-1	1.4090E+3
1.3044E-1	4.7632E-1	1.3044E-1	1.0610E+3
1.3056E-1	4.7461E-1	1.3056E-1	1.3870E+3
1.3068E-1	4.7510E-1	1.3068E-1	1.9660E+3
1.3081E-1	4.7510E-1	1.3081E-1	1.1770E+3
1.3081E-1	4.7437E-1	1.3081E-1	1.3780E+3
1.3093E-1	4.7339E-1	1.3093E-1	1.5580E+3
1.3105E-1	4.7437E-1	1.3105E-1	1.5130E+3
1.3105E-1	4.7412E-1	1.3105E-1	1.9800E+3
1.3117E-1	4.7363E-1	1.3117E-1	1.6060E+3
1.3129E-1	4.7339E-1	1.3129E-1	1.5380E+3
1.3142E-1	4.7217E-1	1.3142E-1	1.6910E+3
1.3142E-1	4.7168E-1	1.3142E-1	1.5240E+3
1.3154E-1	4.7388E-1	1.3154E-1	1.9710E+3
1.3166E-1	4.7241E-1	1.3166E-1	1.4850E+3
1.3166E-1	4.7070E-1	1.3166E-1	1.3790E+3
1.3178E-1	4.7241E-1	1.3178E-1	1.5600E+3
1.3191E-1	4.7241E-1	1.3191E-1	1.7070E+3
1.3191E-1	4.7217E-1	1.3191E-1	1.5740E+3
1.3203E-1	4.7241E-1	1.3203E-1	2.2410E+3
1.3215E-1	4.7070E-1	1.3215E-1	1.3930E+3
1.3227E-1	4.7119E-1	1.3227E-1	1.1900E+3
1.3227E-1	4.6997E-1	1.3227E-1	1.6090E+3
1.3239E-1	4.6948E-1	1.3239E-1	7.3300E+2
1.3252E-1	4.6899E-1	1.3252E-1	1.4400E+3
1.3252E-1	4.6851E-1	1.3252E-1	1.2720E+3
1.3264E-1	4.6875E-1	1.3264E-1	1.9940E+3
1.3276E-1	4.6899E-1	1.3276E-1	1.2590E+3
1.3276E-1	4.6948E-1	1.3276E-1	1.4180E+3
1.3288E-1	4.6826E-1	1.3288E-1	1.4430E+3
1.3300E-1	4.6802E-1	1.3300E-1	1.7000E+3
