Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-3.4395E-1	5.0293E-1	-3.4395E-1	1.3140E+3
-3.4383E-1	5.0220E-1	-3.4383E-1	1.2210E+3
-3.4371E-1	5.0171E-1	-3.4371E-1	4.4900E+2
-3.4359E-1	5.0000E-1	-3.4359E-1	1.0810E+3
-3.4347E-1	4.9805E-1	-3.4347E-1	5.0700E+2
-3.4334E-1	4.9951E-1	-3.4334E-1	4.3100E+2
-3.4322E-1	4.9780E-1	-3.4322E-1	6.1100E+2
-3.4322E-1	4.9634E-1	-3.4322E-1	1.1660E+3
-3.4310E-1	4.9365E-1	-3.4310E-1	9.6800E+2
-3.4298E-1	4.9414E-1	-3.4298E-1	1.1760E+3
-3.4286E-1	4.9243E-1	-3.4286E-1	8.2600E+2
-3.4273E-1	4.9243E-1	-3.4273E-1	8.1300E+2
-3.4261E-1	4.9121E-1	-3.4261E-1	9.9400E+2
-3.4249E-1	4.9146E-1	-3.4249E-1	1.1320E+3
-3.4249E-1	4.9194E-1	-3.4249E-1	1.0990E+3
-3.4237E-1	4.8999E-1	-3.4237E-1	1.3340E+3
-3.4225E-1	4.8804E-1	-3.4225E-1	1.2610E+3
-3.4212E-1	4.8926E-1	-3.4212E-1	1.5080E+3
-3.4200E-1	4.8730E-1	-3.4200E-1	6.1100E+2
-3.4188E-1	4.8804E-1	-3.4188E-1	1.2320E+3
-3.4176E-1	4.8633E-1	-3.4176E-1	1.1240E+3
-3.4163E-1	4.8511E-1	-3.4163E-1	1.1010E+3
-3.4163E-1	4.8364E-1	-3.4163E-1	1.1940E+3
-3.4151E-1	4.8193E-1	-3.4151E-1	9.9200E+2
-3.4139E-1	4.8096E-1	-3.4139E-1	1.1150E+3
-3.4127E-1	4.8096E-1	-3.4127E-1	1.1850E+3
-3.4115E-1	4.8071E-1	-3.4115E-1	1.1570E+3
-3.4102E-1	4.7852E-1	-3.4102E-1	6.6400E+2
-3.4090E-1	4.7607E-1	-3.4090E-1	6.0000E+2
-3.4090E-1	4.7876E-1	-3.4090E-1	1.8110E+3
-3.4078E-1	4.7461E-1	-3.4078E-1	1.2140E+3
-3.4066E-1	4.7632E-1	-3.4066E-1	7.2000E+2
-3.4054E-1	4.7632E-1	-3.4054E-1	4.3300E+2
-3.4041E-1	4.7363E-1	-3.4041E-1	1.5210E+3
-3.4029E-1	4.7510E-1	-3.4029E-1	8.0800E+2
-3.4017E-1	4.7241E-1	-3.4017E-1	1.0680E+3
-3.4005E-1	4.7095E-1	-3.4005E-1	7.5500E+2
-3.4005E-1	4.7144E-1	-3.4005E-1	1.5780E+3
-3.3993E-1	4.6973E-1	-3.3993E-1	1.6940E+3
-3.3980E-1	4.6802E-1	-3.3980E-1	1.2570E+3
-3.3968E-1	4.6875E-1	-3.3968E-1	6.4200E+2
-3.3956E-1	4.6777E-1	-3.3956E-1	6.9300E+2
-3.3944E-1	4.6606E-1	-3.3944E-1	1.1590E+3
-3.3932E-1	4.6558E-1	-3.3932E-1	7.9700E+2
-3.3919E-1	4.6484E-1	-3.3919E-1	4.0700E+2
-3.3919E-1	4.6167E-1	-3.3919E-1	1.5360E+3
-3.3907E-1	4.6265E-1	-3.3907E-1	1.3610E+3
-3.3895E-1	4.5923E-1	-3.3895E-1	1.5030E+3
-3.3883E-1	4.5972E-1	-3.3883E-1	6.6400E+2
-3.3870E-1	4.5947E-1	-3.3870E-1	1.1280E+3
