Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-5.3879E-1	7.9785E-1	-5.3879E-1	2.2000E+1
-5.3855E-1	7.9810E-1	-5.3855E-1	-3.9000E+2
-5.3842E-1	7.9736E-1	-5.3842E-1	-1.9000E+2
-5.3830E-1	7.9883E-1	-5.3830E-1	1.0700E+2
-5.3818E-1	7.9468E-1	-5.3818E-1	4.0800E+2
-5.3794E-1	7.9785E-1	-5.3794E-1	-8.6000E+1
-5.3781E-1	7.9639E-1	-5.3781E-1	1.6100E+2
-5.3769E-1	7.9541E-1	-5.3769E-1	-3.9400E+2
-5.3757E-1	7.9639E-1	-5.3757E-1	1.3500E+2
-5.3733E-1	7.9443E-1	-5.3733E-1	1.3600E+2
-5.3720E-1	7.9443E-1	-5.3720E-1	3.0000E+2
-5.3708E-1	7.9370E-1	-5.3708E-1	-2.1600E+2
-5.3684E-1	7.9590E-1	-5.3684E-1	3.2000E+2
-5.3671E-1	7.9443E-1	-5.3671E-1	-4.3400E+2
-5.3659E-1	7.9370E-1	-5.3659E-1	-3.4100E+2
-5.3647E-1	7.9321E-1	-5.3647E-1	-5.0000E+1
-5.3623E-1	7.9272E-1	-5.3623E-1	-7.0000E+1
-5.3610E-1	7.9248E-1	-5.3610E-1	3.7300E+2
-5.3598E-1	7.9224E-1	-5.3598E-1	-3.4400E+2
-5.3586E-1	7.9175E-1	-5.3586E-1	-3.9400E+2
-5.3562E-1	7.8979E-1	-5.3562E-1	1.0000E+1
-5.3549E-1	7.8931E-1	-5.3549E-1	1.7000E+1
-5.3537E-1	7.8979E-1	-5.3537E-1	5.0900E+2
-5.3513E-1	7.8979E-1	-5.3513E-1	4.8900E+2
-5.3501E-1	7.8882E-1	-5.3501E-1	7.8000E+1
-5.3488E-1	7.8784E-1	-5.3488E-1	4.6200E+2
-5.3476E-1	7.8906E-1	-5.3476E-1	7.9000E+1
-5.3452E-1	7.8760E-1	-5.3452E-1	1.6000E+2
-5.3440E-1	7.8589E-1	-5.3440E-1	6.8000E+1
-5.3427E-1	7.8809E-1	-5.3427E-1	1.7200E+2
-5.3415E-1	7.8687E-1	-5.3415E-1	-1.0100E+2
-5.3391E-1	7.8589E-1	-5.3391E-1	-3.6000E+1
-5.3379E-1	7.8516E-1	-5.3379E-1	-6.1000E+1
-5.3366E-1	7.8589E-1	-5.3366E-1	1.1000E+2
-5.3342E-1	7.8613E-1	-5.3342E-1	-2.4800E+2
-5.3330E-1	7.8516E-1	-5.3330E-1	-1.1200E+2
-5.3317E-1	7.8638E-1	-5.3317E-1	-2.9800E+2
-5.3305E-1	7.8589E-1	-5.3305E-1	-3.6300E+2
-5.3281E-1	7.8564E-1	-5.3281E-1	1.8300E+2
-5.3269E-1	7.8369E-1	-5.3269E-1	2.5600E+2
-5.3256E-1	7.8516E-1	-5.3256E-1	-2.3500E+2
-5.3232E-1	7.8442E-1	-5.3232E-1	3.7000E+1
-5.3220E-1	7.8418E-1	-5.3220E-1	-8.2000E+1
-5.3208E-1	7.8320E-1	-5.3208E-1	-4.2600E+2
-5.3195E-1	7.8662E-1	-5.3195E-1	1.1100E+2
