Aux out [V]	Aux in [V]	PDH out [a.u.]
-9.9805E-1	9.2236E-1	-6.0900E+2
-9.9609E-1	9.1992E-1	-5.4500E+2
-9.9414E-1	9.2188E-1	-2.8100E+2
-9.9219E-1	9.1919E-1	-8.1600E+2
-9.9023E-1	9.2090E-1	-1.5000E+2
-9.8804E-1	9.1943E-1	-5.1900E+2
-9.8608E-1	9.2017E-1	3.9000E+1
-9.8413E-1	9.2065E-1	-2.7400E+2
-9.8218E-1	9.1992E-1	-8.1400E+2
-9.8022E-1	9.1943E-1	-5.2000E+1
-9.7803E-1	9.2139E-1	-9.5700E+2
-9.7607E-1	9.1895E-1	-7.0700E+2
-9.7412E-1	9.1821E-1	-5.0200E+2
-9.7217E-1	9.2017E-1	-9.2000E+1
-9.7021E-1	9.1870E-1	-4.0700E+2
-9.6826E-1	9.1919E-1	-6.1800E+2
-9.6606E-1	9.1968E-1	-6.3800E+2
-9.6411E-1	9.1943E-1	-7.2000E+2
-9.6216E-1	9.1895E-1	-9.5000E+1
-9.6020E-1	9.1846E-1	-3.4100E+2
-9.5825E-1	9.1724E-1	-5.2700E+2
-9.5605E-1	9.1895E-1	-6.4200E+2
-9.5410E-1	9.2065E-1	-1.6300E+2
-9.5215E-1	9.1870E-1	6.9000E+1
-9.5019E-1	9.1870E-1	-7.5000E+1
-9.4824E-1	9.1895E-1	1.7000E+2
-9.4629E-1	9.1772E-1	-1.5500E+2
-9.4409E-1	9.1821E-1	-1.0350E+3
-9.4214E-1	9.2017E-1	-5.5100E+2
-9.4018E-1	9.1821E-1	-1.8200E+2
-9.3823E-1	9.1968E-1	-6.0500E+2
-9.3628E-1	9.1870E-1	-2.1000E+1
-9.3408E-1	9.1699E-1	-8.2200E+2
-9.3212E-1	9.1919E-1	-7.8500E+2
-9.3017E-1	9.1968E-1	-6.1600E+2
-9.2822E-1	9.1895E-1	-2.1800E+2
-9.2627E-1	9.2017E-1	-5.1200E+2
-9.2431E-1	9.1895E-1	-7.3800E+2
-9.2211E-1	9.1748E-1	-5.1700E+2
-9.2016E-1	9.1919E-1	3.2000E+1
-9.1821E-1	9.1821E-1	-2.9900E+2
-9.1625E-1	9.1724E-1	-5.7000E+2
-9.1430E-1	9.1772E-1	-3.1200E+2
-9.1210E-1	9.1699E-1	-2.4100E+2
-9.1015E-1	9.1602E-1	-3.7800E+2
-9.0820E-1	9.1821E-1	-6.8700E+2
-9.0624E-1	9.1748E-1	-3.1200E+2
-9.0429E-1	9.1772E-1	-6.3400E+2
-9.0234E-1	9.1675E-1	-1.2600E+2
-9.0014E-1	9.1675E-1	-3.4500E+2
-8.9819E-1	9.1577E-1	-6.4700E+2
-8.9623E-1	9.1577E-1	-2.5300E+2
-8.9428E-1	9.1797E-1	-2.8500E+2
-8.9233E-1	9.1748E-1	-3.6300E+2
-8.9013E-1	9.1699E-1	-1.9000E+2
-8.8818E-1	9.1699E-1	-3.9200E+2
-8.8622E-1	9.1699E-1	-4.0100E+2
-8.8427E-1	9.1748E-1	-1.1130E+3
-8.8232E-1	9.1772E-1	6.6000E+1
-8.8036E-1	9.1797E-1	-3.8700E+2
-8.7817E-1	9.1675E-1	-3.0500E+2
-8.7621E-1	9.1699E-1	9.6000E+1
-8.7426E-1	9.1772E-1	-4.5800E+2
-8.7231E-1	9.1748E-1	-3.8300E+2
-8.7035E-1	9.1699E-1	1.6800E+2
-8.6816E-1	9.1675E-1	-2.4700E+2
-8.6620E-1	9.1528E-1	-5.5400E+2
-8.6425E-1	9.1626E-1	-5.9800E+2
-8.6230E-1	9.1602E-1	-3.6800E+2
-8.6034E-1	9.1675E-1	-3.6300E+2
-8.5839E-1	9.1626E-1	-7.4400E+2
-8.5619E-1	9.1650E-1	9.6000E+1
-8.5424E-1	9.1431E-1	-5.1200E+2
-8.5229E-1	9.1479E-1	-6.9800E+2
-8.5033E-1	9.1602E-1	-1.0800E+2
-8.4838E-1	9.1650E-1	-3.6300E+2
-8.4618E-1	9.1406E-1	-7.8000E+2
-8.4423E-1	9.1675E-1	1.1200E+2
-8.4228E-1	9.1626E-1	-2.5200E+2
-8.4032E-1	9.1431E-1	-7.4000E+2
-8.3837E-1	9.1675E-1	-9.2600E+2
-8.3642E-1	9.1455E-1	-3.2300E+2
-8.3422E-1	9.1504E-1	-2.7000E+2
-8.3227E-1	9.1431E-1	-5.1900E+2
-8.3031E-1	9.1431E-1	3.7000E+1
-8.2836E-1	9.1235E-1	-2.5400E+2
-8.2641E-1	9.1309E-1	-6.4700E+2
-8.2421E-1	9.1479E-1	-7.2700E+2
-8.2225E-1	9.1528E-1	7.3300E+2
-8.2030E-1	9.1406E-1	-3.8900E+2
-8.1835E-1	9.1504E-1	-2.0500E+2
-8.1640E-1	9.1333E-1	3.9600E+2
-8.1444E-1	9.1431E-1	-4.3400E+2
-8.1224E-1	9.1309E-1	2.0500E+2
-8.1029E-1	9.1284E-1	-5.5100E+2
-8.0834E-1	9.1333E-1	-5.3800E+2
-8.0638E-1	9.1235E-1	-6.8300E+2
-8.0443E-1	9.1211E-1	-2.8700E+2
-8.0223E-1	9.1382E-1	-3.0100E+2
-8.0028E-1	9.1357E-1	-6.4200E+2
-7.9833E-1	9.1455E-1	-3.9200E+2
-7.9637E-1	9.1260E-1	-8.2300E+2
-7.9442E-1	9.1284E-1	-5.9300E+2
-7.9247E-1	9.1431E-1	-6.2000E+2
